time,elevation,azimuth,range,visibility,signal
2026-04-14 01:45:14.558,0.0,153.004,2342.582269,0,0.0
2026-04-14 01:46:14.000,1.657,142.919,2167.927127,0,8.488579852185652e-06
2026-04-14 01:47:14.000,2.739,131.315,2062.600849,0,1.4747684053377386e-05
2026-04-14 01:48:14.000,2.998,118.955,2040.224091,0,1.6319183796616826e-05
2026-04-14 01:49:14.000,2.371,106.846,2103.688376,0,1.25170285277636e-05
2026-04-14 01:50:14.000,1.009,95.882,2245.610617,0,4.990233299120526e-06
2026-04-14 01:50:48.285,0.0,90.326,2356.65245,0,0.0
2026-04-14 03:18:47.640,0.0,218.737,2344.291243,0,0.0
2026-04-14 03:19:47.000,4.089,217.947,1935.503227,0,2.346153246732149e-05
2026-04-14 03:20:47.000,9.434,216.661,1525.60211,1,6.866374776740105e-05
2026-04-14 03:21:47.000,17.272,214.278,1125.282108,1,0.00017039346514338046
2026-04-14 03:22:47.000,31.172,208.568,753.003704,1,0.00045935524416940474
2026-04-14 03:23:47.000,59.789,181.996,482.310912,1,0.0013745235328397104
2026-04-14 03:24:47.000,53.831,74.619,514.226179,1,0.0011608925295355037
2026-04-14 03:25:47.000,28.216,55.921,813.765045,1,0.0003847871395993812
2026-04-14 03:26:47.000,15.843,51.168,1193.394453,1,0.00014738291264764715
2026-04-14 03:27:47.000,8.596,49.094,1595.936423,1,5.9808962796204633e-05
2026-04-14 03:28:47.000,3.525,47.976,2006.440448,0,1.9510748976732117e-05
2026-04-14 03:29:39.523,0.0,47.374,2368.021732,0,0.0
2026-04-14 04:56:46.872,0.0,270.973,2356.876112,0,0.0
2026-04-14 04:57:46.000,3.081,278.164,2040.770892,0,1.676649102378002e-05
2026-04-14 04:58:46.000,6.338,287.97,1759.34337,1,4.0004821458339805e-05
2026-04-14 04:59:46.000,9.395,301.117,1540.605908,1,6.771438040498796e-05
2026-04-14 05:00:46.000,11.466,317.74,1414.861996,1,8.998052095467076e-05
2026-04-14 05:01:46.000,11.619,336.103,1407.65562,1,9.164766616272044e-05
2026-04-14 05:02:46.000,9.777,353.065,1520.556183,1,7.139620248471189e-05
2026-04-14 05:03:46.000,6.824,6.648,1729.686856,1,4.3810480191352544e-05
2026-04-14 05:04:46.000,3.595,16.829,2004.350356,0,1.9918935524124668e-05
2026-04-14 05:05:46.000,0.471,24.398,2320.393856,0,2.2543926873102455e-06
2026-04-14 05:05:55.389,0.0,25.399,2372.468339,0,0.0
2026-04-14 06:37:44.548,0.0,327.551,2371.13234,0,0.0
2026-04-14 06:38:44.000,0.886,338.05,2275.61548,0,4.3241577380667045e-06
2026-04-14 06:39:44.000,1.143,349.216,2249.509017,0,5.643167791848931e-06
2026-04-14 06:40:44.000,0.711,0.281,2296.443565,0,3.4386045952776204e-06
2026-04-14 06:41:28.015,0.0,7.955,2374.941346,0,0.0
2026-04-14 08:17:02.015,0.0,354.066,2376.463064,0,0.0
2026-04-14 08:18:02.000,0.617,4.719,2308.992017,0,2.9677832239692784e-06
2026-04-14 08:19:02.000,0.592,15.671,2311.897794,0,2.8439552300328655e-06
2026-04-14 08:19:57.392,-0.0,25.488,2376.988898,0,0.0
2026-04-14 09:52:30.979,0.0,336.756,2376.963457,0,0.0
2026-04-14 09:53:30.000,2.826,344.477,2082.941365,0,1.5067602441875803e-05
2026-04-14 09:54:30.000,5.673,354.696,1827.964098,1,3.446395333963157e-05
2026-04-14 09:55:30.000,8.129,7.786,1639.313825,1,5.506398888165332e-05
2026-04-14 09:56:30.000,9.542,23.461,1542.537241,1,6.868782910189741e-05
2026-04-14 09:57:30.000,9.336,40.05,1555.421106,1,6.664862930311183e-05
2026-04-14 09:58:30.000,7.601,55.226,1675.508947,1,5.037584541775521e-05
2026-04-14 09:59:30.000,4.99,67.631,1882.076348,0,2.9443545665756753e-05
2026-04-14 10:00:30.000,2.099,77.228,2149.731866,0,1.084385394149464e-05
2026-04-14 10:01:13.712,0.0,82.764,2371.078258,0,0.0
2026-04-14 11:28:39.030,0.0,315.767,2376.18898,0,0.0
2026-04-14 11:29:39.000,4.09,316.206,1963.530245,0,2.3132473811541876e-05
2026-04-14 11:30:39.000,9.368,316.789,1553.177339,1,6.697362410126409e-05
2026-04-14 11:31:39.000,17.065,317.696,1150.743701,1,0.00016462960548122078
2026-04-14 11:32:39.000,30.727,319.587,771.831282,1,0.00044176668189152194
2026-04-14 11:33:39.000,61.749,328.212,479.687581,1,0.001427330405692341
2026-04-14 11:34:39.000,61.893,122.601,478.55477,1,0.001434038493663612
2026-04-14 11:35:39.000,30.704,131.294,769.809901,1,0.00044259363445249203
2026-04-14 11:36:39.000,16.982,133.164,1148.677312,1,0.00016412334741184217
2026-04-14 11:37:39.000,9.261,134.032,1551.322369,1,6.628777762591141e-05
2026-04-14 11:38:39.000,3.972,134.561,1962.021309,0,2.2482350614836517e-05
