"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,14 Apr 2026 01:45:14.558,14 Apr 2026 01:50:48.285,333.727
2,14 Apr 2026 03:18:47.640,14 Apr 2026 03:29:39.523,651.884
3,14 Apr 2026 04:56:46.872,14 Apr 2026 05:05:55.389,548.517
4,14 Apr 2026 06:37:44.548,14 Apr 2026 06:41:28.015,223.467
5,14 Apr 2026 08:17:02.015,14 Apr 2026 08:19:57.392,175.377
6,14 Apr 2026 09:52:30.979,14 Apr 2026 10:01:13.712,522.733
7,14 Apr 2026 11:28:39.030,14 Apr 2026 11:39:36.927,657.897
8,14 Apr 2026 13:06:49.494,14 Apr 2026 13:14:02.126,432.631
9,15 Apr 2026 02:31:41.128,15 Apr 2026 02:42:12.070,630.942
10,15 Apr 2026 04:08:49.738,15 Apr 2026 04:18:47.250,597.512
11,15 Apr 2026 05:49:07.180,15 Apr 2026 05:54:27.405,320.225
12,15 Apr 2026 07:30:11.423,15 Apr 2026 07:31:02.771,51.349
13,15 Apr 2026 09:05:26.315,15 Apr 2026 09:12:59.727,453.412
14,15 Apr 2026 10:41:21.319,15 Apr 2026 10:52:09.675,648.356
15,15 Apr 2026 12:18:41.525,15 Apr 2026 12:27:49.952,548.428
16,16 Apr 2026 01:44:50.378,16 Apr 2026 01:54:33.783,583.405
17,16 Apr 2026 03:21:03.532,16 Apr 2026 03:31:35.457,631.925
18,16 Apr 2026 05:00:37.660,16 Apr 2026 05:07:24.609,406.949
19,16 Apr 2026 08:18:22.859,16 Apr 2026 08:24:34.845,371.986
20,16 Apr 2026 09:54:07.520,16 Apr 2026 10:04:29.443,621.923
21,16 Apr 2026 11:30:55.568,16 Apr 2026 11:41:09.306,613.738
22,17 Apr 2026 00:58:20.945,17 Apr 2026 01:06:38.471,497.526
23,17 Apr 2026 02:33:28.701,17 Apr 2026 02:44:19.115,650.413
24,17 Apr 2026 04:12:17.126,17 Apr 2026 04:20:19.594,482.468
25,17 Apr 2026 05:53:54.679,17 Apr 2026 05:55:41.954,107.275
26,17 Apr 2026 07:31:20.495,17 Apr 2026 07:35:59.987,279.492
27,17 Apr 2026 09:06:56.613,17 Apr 2026 09:16:36.728,580.115
28,17 Apr 2026 10:43:21.819,17 Apr 2026 10:54:09.355,647.536
29,17 Apr 2026 12:23:32.155,17 Apr 2026 12:26:11.440,159.286
30,18 Apr 2026 00:12:29.760,18 Apr 2026 00:18:08.583,338.823
31,18 Apr 2026 01:46:05.933,18 Apr 2026 01:56:56.989,651.056
32,18 Apr 2026 03:24:06.494,18 Apr 2026 03:33:12.053,545.559
33,18 Apr 2026 05:05:05.777,18 Apr 2026 05:08:43.525,217.748
34,18 Apr 2026 06:44:19.845,18 Apr 2026 06:47:15.901,176.055
35,18 Apr 2026 08:19:47.855,18 Apr 2026 08:28:31.910,524.055
36,18 Apr 2026 09:55:55.961,18 Apr 2026 10:06:53.732,657.772
37,18 Apr 2026 11:34:08.035,18 Apr 2026 11:41:16.277,428.242
38,19 Apr 2026 00:58:56.450,19 Apr 2026 01:09:27.205,630.754
39,19 Apr 2026 02:36:06.370,19 Apr 2026 02:46:01.492,595.122
40,19 Apr 2026 04:16:25.150,19 Apr 2026 04:21:40.785,315.635
41,19 Apr 2026 05:57:29.672,19 Apr 2026 05:58:15.715,46.043
42,19 Apr 2026 07:32:40.716,19 Apr 2026 07:40:15.433,454.717
43,19 Apr 2026 09:08:35.597,19 Apr 2026 09:19:24.186,648.589
44,19 Apr 2026 10:45:56.561,19 Apr 2026 10:55:02.624,546.063
45,20 Apr 2026 00:12:02.702,20 Apr 2026 00:21:46.652,583.950
46,20 Apr 2026 01:48:17.208,20 Apr 2026 01:58:47.280,630.073
47,20 Apr 2026 03:27:52.537,20 Apr 2026 03:34:35.681,403.144
48,20 Apr 2026 06:45:34.859,20 Apr 2026 06:51:47.956,373.097
49,20 Apr 2026 08:21:19.204,20 Apr 2026 08:31:41.593,622.390
50,20 Apr 2026 09:58:07.609,20 Apr 2026 10:08:19.988,612.379

